"","Group","filename","unittitle.text","didunitdate.text","didlanguage.attrs","didabstract.text","level","primarynode.attrs","didunitdate.attrs","container.text","didcontainer.attrs.1","didcontainer.attrs.2","scopecontentid.attrs","scopecontenthead.text","scopecontentp.text","accessrestrictid.attrs","accessrestricthead.text","accessrestrictp.text","note.text","Hierarchical_Relationship","Description_Level","Year_Num"
"11599",3736,"C:/Users/kkalinin/Documents/R/win-library/3.6/HooverArchives/rusnewspapers.xml","SIGNAL Uchreditel' G. F. Ryndin Redaktor G. F. Ryndin. Saianogorsk, Russia. ",NA,NA,NA,"series","series",NA,"350","Box","Box: ",NA,NA,NA,NA,NA,NA,"1996: no. 1",1,"Series",NA
"11600",3736,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2,"File","1996: no. 1"
"11601",3737,"C:/Users/kkalinin/Documents/R/win-library/3.6/HooverArchives/rusnewspapers.xml","SILA SETEIbiulleten' dlia obshchestvennykh organizatsii Redaktor Irina Dominova. Krasnodar, Russia. 2001-",NA,NA,NA,"series","series",NA,"545","Box","Box: ",NA,NA,NA,NA,NA,NA,"2003: no. 7",1,"Series",NA
"11602",3737,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2,"File","2003: no. 7"
"11603",3738,"C:/Users/kkalinin/Documents/R/win-library/3.6/HooverArchives/rusnewspapers.xml","SIL'S'KI VISTI hazeta zakhistu interesiv selian Ukraini. Gl. redaktor: Spodarenko, I. Kiev, Ukraine. 1920-",NA,NA,NA,"series","series",NA,"351","Box","Box: ",NA,NA,NA,NA,NA,NA,"1992: no. 22(15638)1997: no. 103(16548)1999: no. 133(16890)2002: April",1,"Series",NA
"11604",3738,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2,"File","1992: no. 22(15638)"
"11605",3738,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2,"File","1997: no. 103(16548)"
"11606",3738,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2,"File","1999: no. 133(16890)"
"11607",3738,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2,"File","2002: no. April"
"11608",3739,"C:/Users/kkalinin/Documents/R/win-library/3.6/HooverArchives/rusnewspapers.xml","SIMONOVSKAIA SLOBODA regional'naia obshchestvenno-politicheskaia gazeta. I. o. redaktora: Sidorkin, S. Moscow, Russia. Monthly. 1990?-",NA,NA,NA,"series","series",NA,"351","Box","Box: ",NA,NA,NA,NA,NA,NA,"1991: no. 2(16), no. 4(18)1992: no. 1(21), no. 2(23), spetsvypusk (undated) with title ""Perestroika dovela""",1,"Series",NA
"11609",3739,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2,"File","1991: no. 2(16), 4(18)"
"11610",3739,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2,"File","1992: no. 1(21), 2(23), spetsvypusk (undated) with title ""Perestroika dovela"""
"11611",3740,"C:/Users/kkalinin/Documents/R/win-library/3.6/HooverArchives/rusnewspapers.xml","SINDIKALIST prilozhenie k informlistku ""Rabochii"" (Seversk). Subtitle varies: 1995 no. 8-9 ""izdanie Sibirskoi Konfederatsii Truda,"" 1996 no. 10 ""prilozhenie k gazete Rabochii. Tomskaia Konfederatsiia Truda. "" Redaktory: R. Markin, V. Efrimov. Seversk, Russia. 199?-",NA,NA,NA,"series","series",NA,"545","Box","Box: ",NA,NA,NA,NA,NA,NA,"1993: no. 21994: no. 3-61995: no. 7-91996: no. 10",1,"Series",NA
"11612",3740,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2,"File","1993: no. 2"
"11613",3740,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2,"File","1994: no. 3-6"
"11614",3740,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2,"File","1995: no. 7-9"
"11615",3740,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2,"File","1996: no. 10"
"11616",3741,"C:/Users/kkalinin/Documents/R/win-library/3.6/HooverArchives/rusnewspapers.xml","SINDIKATY problemy profsoiuzov. Redaktor: Lev Volokhonskii. Khot'kovo, Russia. 1993?-",NA,NA,NA,"series","series",NA,"545","Box","Box: ",NA,NA,NA,NA,NA,NA,"1993: no. 1",1,"Series",NA
"11617",3741,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2,"File","1993: no. 1"
"11618",3742,"C:/Users/kkalinin/Documents/R/win-library/3.6/HooverArchives/rusnewspapers.xml","SITUATSIIA izdanie Voroshilovskogo RK KPRF g. Moskvy. Spetsial'nyi vypusk gazety Bumbarash 2017. Redaktor vypuska: B. Antishin. Moscow, Russia. 199?-",NA,NA,NA,"series","series",NA,"351","Box","Box: ",NA,NA,NA,NA,NA,NA,"1996: no. 11 (June)",1,"Series",NA
"11619",3742,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2,"File","1996: no. 11 (June)"
"11620",3743,"C:/Users/kkalinin/Documents/R/win-library/3.6/HooverArchives/rusnewspapers.xml","SITUATSIIA organ Khoroshevskoi raionnoi organizatsii KP RF. Subtitle varies: 1997 no. 14- ""gazeta partiinoi organizatsii KPRF SZAO g. Moskvy"" Redaktory: A. V. Morozov, V. Voskoboinik. Moscow, Russia. Irregular. 1994?-",NA,NA,NA,"series","series",NA,"351","Box","Box: ",NA,NA,NA,NA,NA,NA,"1994: no. 1(2)-3(4)1995: no. 5(6)-6(7), no. 71996: no. 13 (December)1997: no. 14 (February), no. 16 (April)1998: no. 23, no. 25, no. 271999: no. 1(29)-3(31)",1,"Series",NA
"11621",3743,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2,"File","1994: no. 1(2)-3(4)"
"11622",3743,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2,"File","1995: no. 5(6)-6(7), 7"
"11623",3743,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2,"File","1996: no. 13 (December)"
"11624",3743,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2,"File","1997: no. 14 (February), 16 (April)"
"11625",3743,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2,"File","1998: no. 23, 25, 27"
"11626",3743,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2,"File","1999: no. 1(29)-3(31)"
"11627",3744,"C:/Users/kkalinin/Documents/R/win-library/3.6/HooverArchives/rusnewspapers.xml","SITUATSIIA Obshchestvenno-politticheskii ezhenedel'nik. Prilozhenie k zhurnalu vnutrnnikh voisk «Na boevom postu». Gl. redaktor Gorlov A. G. Moscow, Russia. 1990?-",NA,NA,NA,"series","series",NA,"351","Box","Box: ",NA,NA,NA,NA,NA,NA,"1990: no. 8 1991: no. 24(32)1992: no. 2(41), no. 5(44)-8(47), no. 14(53), no. 38(77), no. 41/48(80/87)1993: no. 25(112)",1,"Series",NA
"11628",3744,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2,"File","1990: no. 8 "
"11629",3744,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2,"File","1991: no. 24(32)"
