"","Group","filename","unittitle.text","didunitdate.text","didlanguage.attrs","didabstract.text","level","primarynode.attrs","didunitdate.attrs","container.text","didcontainer.attrs.1","didcontainer.attrs.2","scopecontentid.attrs","scopecontenthead.text","scopecontentp.text","accessrestrictid.attrs","accessrestricthead.text","accessrestrictp.text","note.text","Hierarchical_Relationship","Description_Level","Year_Num"
"1",1,"C:/Users/kkalinin/Documents/R/win-library/3.6/HooverArchives/rusnewspapers.xml","Soviet and post-Soviet independent publications collection ","1986-2006","rus","Serial issues, relating to political, social and economic conditions in Russia. ","collection",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,"Series",NA
"2",2,"C:/Users/kkalinin/Documents/R/win-library/3.6/HooverArchives/rusnewspapers.xml","Key: TITLE Subtitle. Publisher. Editor. Publication location. Publication frequency. Publication Start date ",NA,NA,NA,"series","series",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Sorted by year",1,"Series",NA
"3",3,"C:/Users/kkalinin/Documents/R/win-library/3.6/HooverArchives/rusnewspapers.xml","III-ii RIM vestnik Rossiiskogo patrioticheskogo dvizheniia. Redaktory: M. Artem'ev, V. Rugich. Moscow, Russia. 1989-",NA,NA,NA,"series","series",NA,"460","Box","Box: ",NA,NA,NA,NA,NA,NA,"one undated issue no. 3 with headline ""Narodnye li?""1989: no. 1-31991: no. 5, no. 7-81994: no. 11997: no. 2",1,"Series",NA
"4",3,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2,"File","1989: no. 1-3"
"5",3,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2,"File","1991: no. 5, 7-8"
"31",3,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2,"File","1994: no. 1"
"4.1",3,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2,"File","1997: no. 2"
"8",4,"C:/Users/kkalinin/Documents/R/win-library/3.6/HooverArchives/rusnewspapers.xml","VII LINNIIAthe seventh line. Gl. redaktor: M. Rozenberg. S. -Peterburg, Russia. 19??-",NA,NA,NA,"series","series",NA,"460","Box","Box: ",NA,NA,NA,NA,NA,NA,"1992: no. 21993: no. 2, no. 4",1,"Series",NA
"9",4,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2,"File","1992: no. 2"
"10",4,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2,"File","1993: no. 2, 4"
"11",5,"C:/Users/kkalinin/Documents/R/win-library/3.6/HooverArchives/rusnewspapers.xml","XXI VEK respublikanskaia ezhenedel'naia obshchestvenno-politicheskaia gazeta. Glavnyi redaktor: Bigel'dy Gabdullin. Almaty, Kazakhstan. Weekly. 1998-",NA,NA,NA,"series","series",NA,"1","Box","Box: ",NA,NA,NA,NA,NA,NA,"1998: no. 23-26, no. 291999: no. 1(43), no. 3(45), one unnumbered and undated issue with headline, ""Ia govoriu Vlasti: ""Net!"","" no. 34(76), no. 42(84)-43(85)2000: no. 16(107), no. 20(111), no. 22(113)-23(114)",1,"Series",NA
"12",5,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2,"File","1998: no. 23-26, 29"
"13",5,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2,"File","1999: no. 1(43), 3(45), one unnumbered and undated issue with headline, ""Ia govoriu Vlasti: ""Net!"","" 34(76), 42(84)-43(85)"
"14",5,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2,"File","2000: no. 16(107), 20(111), 22(113)-23(114)"
"6",6,"C:/Users/kkalinin/Documents/R/win-library/3.6/HooverArchives/rusnewspapers.xml","12See: Dvenadtsat'. ",NA,NA,NA,"series","series",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,"Series",NA
"7",7,"C:/Users/kkalinin/Documents/R/win-library/3.6/HooverArchives/rusnewspapers.xml","1-i SIBIRSKII FRONT Tomsk, Russia. 2003?-",NA,NA,NA,"series","series",NA,"1","Box","Box: ",NA,NA,NA,NA,NA,NA,"2003: One unnumbered issue with headline ""K sibiriakam!."" ",1,"Series",NA
"17",7,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2,"File","2003: no.  One unnumbered issue with headline ""K sibiriakam!."""
"18",8,"C:/Users/kkalinin/Documents/R/win-library/3.6/HooverArchives/rusnewspapers.xml","19 IANVARIA gazeta Orekhovo-zuevskoi organizatsii Kommunisticheskoi partii Rossiiskoi Federatsii. Otvetstvennyi za vypusk: V. I. Khromov. Orekhovo-Zuevo, Russia. 1995-",NA,NA,NA,"series","series",NA,"1","Box","Box: ",NA,NA,NA,NA,NA,NA,"1997: April",1,"Series",NA
"19",8,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2,"File","1997: no.  April"
"20",9,"C:/Users/kkalinin/Documents/R/win-library/3.6/HooverArchives/rusnewspapers.xml","24mezhdunarodnaia gazeta. Gl. redaktor: Iu. Zarechkin. Moscow, Russia. Semiweekly. 199?-",NA,NA,NA,"series","series",NA,"1","Box","Box: ",NA,NA,NA,NA,NA,NA,"1992: June 2, June 9, no. 41, no. 53, no. 55, no. 58-60, no. 62-67, no. 69-71, no. 731993: no. 1(74)-6(79), no. 8(81)-9(82), no. 11(84)-14(87), no. 16(89), no. 19(92)-23(96), no. 25(98)-37(110), no. 38(111)-42(115), no. 44(117)-48(121), no. 50(123), no. 56(129), no. 59(132)-60(133), no. 62(135), no. 66(139), no. 76(149)",1,"Series",NA
"21",9,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2,"File","1992: no.  June 2, June 9, 41, 53, 55, 58-60, 62-67, 69-71, 73"
"22",9,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2,"File","1993: no. 1(74)-6(79), 8(81)-9(82), 11(84)-14(87), 16(89), 19(92)-23(96), 25(98)-37(110), 38(111)-42(115), 44(117)-48(121), 50(123), 56(129), 59(132)-60(133), 62(135), 66(139), 76(149)"
"23",10,"C:/Users/kkalinin/Documents/R/win-library/3.6/HooverArchives/rusnewspapers.xml","30 OKTIABRIA Uchrediteli: Mezhdunarodnoe istoriko-prosvetitel'skoe, blagotvoritel'noe i pravozashchitnoe obshchestvo ""Memorial,"" Istoriko-prosvetitel'skoe, blagotvoritel'noe i pravozashchitnoe obshchestvo ""Moskovskii Memorial,"" Moskovskoe ob''edinenie lits, postradavshikh ot politicheskikh repressii. Glavnyi redaktor: G. C. Shvedov. Moscow, Russia. Approx. monthly. 2000?-",NA,NA,NA,"series","series",NA,"2","Box","Box: ",NA,NA,NA,NA,NA,NA,"1999: no. 1-22000: no. 3-112001: no. 12-202002: no. 21-282004: no. 452006: no. 632009: no. 91-92",1,"Series",NA
"24",10,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2,"File","1999: no. 1-2"
"25",10,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2,"File","2000: no. 3-11"
"26",10,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2,"File","2001: no. 12-20"
"27",10,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2,"File","2002: no. 21-28"
"28",10,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2,"File","2004: no. 45"
"29",10,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2,"File","2006: no. 63"
"30",10,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2,"File","2009: no. 91-92"
"31.1",11,"C:/Users/kkalinin/Documents/R/win-library/3.6/HooverArchives/rusnewspapers.xml","4 OKTIABRIA gazeta zashchitnikov Doma Sovetov. Prilozhenie k gazete ""Obnovlenie."" Elektrostal', Russia. 199?-",NA,NA,NA,"series","series",NA,"2","Box","Box: ",NA,NA,NA,NA,NA,NA,"1997: no. 11998: no. 21999: no. 3-4",1,"Series",NA
"32",11,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2,"File","1997: no. 1"
"33",11,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2,"File","1998: no. 2"
"34",11,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2,"File","1999: no. 3-4"
"35",12,"C:/Users/kkalinin/Documents/R/win-library/3.6/HooverArchives/rusnewspapers.xml","41gazeta Zelenograda. Gl. redaktor: S. Chernykh. Moscow, Russia. 1990-",NA,NA,NA,"series","series",NA,"2","Box","Box: ",NA,NA,NA,NA,NA,NA,"1990: no. 22(27)1992: no. 6, no. 20(63), no. 41(84), no. 45/46(88/89)1993: no. 5(102), no. 28(125)",1,"Series",NA
"36",12,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2,"File","1990: no. 22(27)"
"37",12,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2,"File","1992: no. 6, 20(63), 41(84), 45/46(88/89)"
"38",12,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2,"File","1993: no. 5(102), 28(125)"
"39",13,"C:/Users/kkalinin/Documents/R/win-library/3.6/HooverArchives/rusnewspapers.xml","451 PO FARENGEITU nezavisimaia obshestvenno-politicheskaia ezhenedel'naia gazeta. Glavnyi redaktor: Iurii Mizinov. Almaty, Kazakhstan. Weekly?. 19??-",NA,NA,NA,"series","series",NA,"3","Box","Box: ",NA,NA,NA,NA,NA,NA,"1998: no. 3(35) (Fall), no. 11(44) (11980) (Winter), no. 12(45) (11981) (Winter)1999: no. 1(13) (11982) (Spring), no. 2(!4) (11983) (Spring)",1,"Series",NA
"40",13,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2,"File","1998: no. 3(35) (Fall), 11(44) (11980) (Winter), 12(45) (11981) (Winter)"
"41",13,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2,"File","1999: no. 1(13) (11982) (Spring), 2(!4) (11983) (Spring)"
"42",14,"C:/Users/kkalinin/Documents/R/win-library/3.6/HooverArchives/rusnewspapers.xml","58-ia - ZHERTVY I PALACHI organ Vsesoiuznoi Assotsiatsii zhertv politicheskikh repressii. Subtitle varies: 1995 no. 5/6(28/29)- ""organ Mezhdunarodnoi Federatsii i Rossiiskoi Assotsiatsii zhertv politicheskikh repressii,"" 1996 no. 8/9- ""gazeta sotsial'noi zashchity"" Redaktory: M. Malinin, Iurii Durnev. Moscow, Russia. 19??-",NA,NA,NA,"series","series",NA,"3","Box","Box: ",NA,NA,NA,NA,NA,NA,"1991: January 101993: no. 1(6)-4(9), no. 6(11), March (Special issue titled ""Obrashchenie, initsiativnoi gruppy po provedeniiu..."")1994: no. 1(12), no. 8/9(19/20)-12(23)1995: no. 1(24)-12(36)",1,"Series",NA
"43",14,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2,"File","1991: no.  January 10"
"44",14,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2,"File","1993: no. 1(6)-4(9), 6(11), March (Special issue titled ""Obrashchenie, initsiativgruppy po provedeniiu..."")"
"45",14,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2,"File","1994: no. 1(12), 8/9(19/20)-12(23)"
"46",14,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2,"File","1995: no. 1(24)-12(36)"
"15",15,"C:/Users/kkalinin/Documents/R/win-library/3.6/HooverArchives/rusnewspapers.xml","60 MINUT Daidzhest ""glasnost'."" Redaktor: Aleksei Sheinin. Riga, Latvia. 19??-",NA,NA,NA,"series","series",NA,"460","Box","Box: ",NA,NA,NA,NA,NA,NA,"1990: One unnumbered issue with headline, ""Evoliutsiia leninskogo, uravneniia."" ",1,"Series",NA
"48",15,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2,"File","1990: no.  One unnumbered issue with headline, ""Evoliutsiia leninskogo, uravneniia."""
"16",16,"C:/Users/kkalinin/Documents/R/win-library/3.6/HooverArchives/rusnewspapers.xml","7 DNEI Redaktor: A. Prianishnikov. Minsk, Byelorussia. Weekly. 19??-",NA,NA,NA,"series","series",NA,"3","Box","Box: ",NA,NA,NA,NA,NA,NA,"1991: no. 21(73)1992: no. 24/25(128/129), no. 43(147)1993: no. 1(157)-52(208)",1,"Series",NA
"50",16,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2,"File","1991: no. 21(73)"
"51",16,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2,"File","1992: no. 24/25(128/129), 43(147)"
"52",16,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2,"File","1993: no. 1(157)-52(208)"
"53",17,"C:/Users/kkalinin/Documents/R/win-library/3.6/HooverArchives/rusnewspapers.xml","24 ChasaObozrenie otechestvennoi I zarubezhnoi pressy. Oleg Petrichenko. St. Peterburg, Russia. Weekly?. ",NA,NA,NA,"series","series",NA,"3","Box","Box: ",NA,NA,NA,NA,NA,NA,"1993: no. 35-38",1,"Series",NA
"54",17,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2,"File","1993: no. 35-38"
"55",18,"C:/Users/kkalinin/Documents/R/win-library/3.6/HooverArchives/rusnewspapers.xml","88Informtsentr Armianskogo obshchenatsional'nogo dvizheniia. Redaktor: A. Areumanian. Erevan, Armenia. 1990-",NA,NA,NA,"series","series",NA,"460","Box","Box: ",NA,NA,NA,NA,NA,NA,"1990: no. 2-5",1,"Series",NA
"56",18,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2,"File","1990: no. 2-5"
"57",19,"C:/Users/kkalinin/Documents/R/win-library/3.6/HooverArchives/rusnewspapers.xml","999informatsionnyi vestnik; istochnik nezavisimoi informatsii. Izdanie Demokraticheskikh sil Bolgradskogo raione. Bolgrad, Ukraine. 19??-",NA,NA,NA,"series","series",NA,"460","Box","Box: ",NA,NA,NA,NA,NA,NA,"1990: no. 3-5",1,"Series",NA
"58",19,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2,"File","1990: no. 3-5"
"59",20,"C:/Users/kkalinin/Documents/R/win-library/3.6/HooverArchives/rusnewspapers.xml","A & R Al'ternativa ""Reporter"" - sovmestnyi vypusk. Redaktor: Svalov, S. (Reporter); Nyrko, V. (Al'ternativa). Iaroslavl', RSFSR. 19??-",NA,NA,NA,"series","series",NA,"4","Box","Box: ",NA,NA,NA,NA,NA,NA,"1991: May 15 - June 15",1,"Series",NA
"60",20,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2,"File","1991: no.  May 15 - June 15"
"61",21,"C:/Users/kkalinin/Documents/R/win-library/3.6/HooverArchives/rusnewspapers.xml","A & S INFO See: A-S Info. ",NA,NA,NA,"series","series",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,"Series",NA
"62",22,"C:/Users/kkalinin/Documents/R/win-library/3.6/HooverArchives/rusnewspapers.xml","A B S PANORAMA zhurnal (Fenzin) po voprosam tvorchestva brat'ev Strugatskikh.  Lia ""Obersan"" Gl. redaktor: Kazakov, V. Iu. Saratov, RSFSR. 1989?-",NA,NA,NA,"series","series",NA,"460","Box","Box: ",NA,NA,NA,NA,NA,NA,"1989: no. 3",1,"Series",NA
"63",22,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2,"File","1989: no. 3"
"64",23,"C:/Users/kkalinin/Documents/R/win-library/3.6/HooverArchives/rusnewspapers.xml","A i B annotirovannyi informatsionnyi biulleten'. Organ Moskovskoi sektsiiSotsialisticheskoi partii. Moscow, Russia. 1991?-",NA,NA,NA,"series","series",NA,"460","Box","Box: ",NA,NA,NA,NA,NA,NA,"1991: no. 3-4, spetsvypusk, no. 6",1,"Series",NA
"65",23,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2,"File","1991: no. 3-4, spetsvypusk, 6"
"66",24,"C:/Users/kkalinin/Documents/R/win-library/3.6/HooverArchives/rusnewspapers.xml","A INFO [s. l. : s. n. ]. 199?-",NA,NA,NA,"series","series",NA,"460","Box","Box: ",NA,NA,NA,NA,NA,NA,"1993: May/June/July/August",1,"Series",NA
"67",24,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2,"File","1993: no.  May/June/July/August"
"68",25,"C:/Users/kkalinin/Documents/R/win-library/3.6/HooverArchives/rusnewspapers.xml","A N - PRESS See: Biulleten' AN-Press. ",NA,NA,NA,"series","series",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,"Series",NA
"69",26,"C:/Users/kkalinin/Documents/R/win-library/3.6/HooverArchives/rusnewspapers.xml","A N I See: Agenstvo Novostei i Informatsii. ",NA,NA,NA,"series","series",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,"Series",NA
"70",27,"C:/Users/kkalinin/Documents/R/win-library/3.6/HooverArchives/rusnewspapers.xml","A T V (Al'ternativnyi Tvorcheskii Vestnik) ezhenedel'naia gazeta. Gl. redaktor: Sokolovskii, V. Khar'kov, Russia. 19??-",NA,NA,NA,"series","series",NA,"4","Box","Box: ",NA,NA,NA,NA,NA,NA,"1991: no. 511992: no. 10(63)",1,"Series",NA
"71",27,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2,"File","1991: no. 51"
"72",27,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2,"File","1992: no. 10(63)"
"73",28,"C:/Users/kkalinin/Documents/R/win-library/3.6/HooverArchives/rusnewspapers.xml","ABKHAZIIA Nezavisimaia gazeta. Moskovskii vypusk. Glavnyi redaktor: T. L. Arshba. Moscow, Russia. 1990-",NA,NA,NA,"series","series",NA,"4","Box","Box: ",NA,NA,NA,NA,NA,NA,"1994: no. 1(79)-2(80)1995: no. 1(82)-2(83), no. 4(85)1996: no. 5(86)",1,"Series",NA
"74",28,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2,"File","1994: no. 1(79)-2(80)"
"75",28,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2,"File","1995: no. 1(82)-2(83), 4(85)"
"76",28,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2,"File","1996: no. 5(86)"
"77",29,"C:/Users/kkalinin/Documents/R/win-library/3.6/HooverArchives/rusnewspapers.xml","ABKHAZSKII VESTNK Moskovskoe obshchestvo Abkhazskoi kul'tury ""Nartaa."" Redaktor: Anchabadze, Iu. D. Moscow, Russia. Monthly?. 1993-",NA,NA,NA,"series","series",NA,"4","Box","Box: ",NA,NA,NA,NA,NA,NA,"1993: no. 1(1)-3(3)1994: no. 1(4)",1,"Series",NA
"78",29,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2,"File","1993: no. 1(1)-3(3)"
"79",29,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2,"File","1994: no. 1(4)"
"80",30,"C:/Users/kkalinin/Documents/R/win-library/3.6/HooverArchives/rusnewspapers.xml","ABUDZHEN'NE ves'nik Mahileuskai rady Belaruskaha narodnaha frontu. Minsk, Byelorussia. 1989-",NA,NA,NA,"series","series",NA,"460","Box","Box: ",NA,NA,NA,NA,NA,NA,"1989: no. 1-21990: no. 2(4)",1,"Series",NA
"81",30,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2,"File","1989: no. 1-2"
"82",30,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2,"File","1990: no. 2(4)"
"83",31,"C:/Users/kkalinin/Documents/R/win-library/3.6/HooverArchives/rusnewspapers.xml","ACHYG SOZ mustagiia press-bulleten. Redaktor: Akhmedov, E. Baku, Azerbaijan. 1989-",NA,NA,NA,"series","series",NA,"460","Box","Box: ",NA,NA,NA,NA,NA,NA,"1989? no. 1-4",1,"Series",NA
"84",31,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2,"File","1989?: no. 1-4"
"85",32,"C:/Users/kkalinin/Documents/R/win-library/3.6/HooverArchives/rusnewspapers.xml","ACTIVITATEA SOCIALISTA""Sotsialisticheskoe deistvie"" - gruppa moldavskikh storonnikov komiteta za rabochii Internatsional. Moscow, Russia?. ",NA,NA,NA,"series","series",NA,"4","Box","Box: ",NA,NA,NA,NA,NA,NA,"one unnumbered and undated issue, with lead article titled ""Moldova. Zhizn' posle zhizni""",1,"Series",NA
"86",33,"C:/Users/kkalinin/Documents/R/win-library/3.6/HooverArchives/rusnewspapers.xml","ADAEMY KH''AELAES / GOLOS NARODA gazeta kommunisticheskoi partii trudiashchikhsia severnoi Osetii. Vladikavkaz, Russia. 1992-",NA,NA,NA,"series","series",NA,"4","Box","Box: ",NA,NA,NA,NA,NA,NA,"1993: no. 3(7), no. 6(10)1994: no. 1(12)",1,"Series",NA
"87",33,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2,"File","1993: no. 3(7), 6(10)"
"88",33,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2,"File","1994: no. 1(12)"
"89",34,"C:/Users/kkalinin/Documents/R/win-library/3.6/HooverArchives/rusnewspapers.xml","ADAMALLA CHELOVECHNOST' organ obshchestvenno-politicheskogo dvizheniia ""Adamalla - Chelovechnost'."" Uchreditel': Obshchestvenno-politicheskoe dvizhenie ""Za natsional'noe vozrozhdenie Chechenskogo naroda i Chechenskoi Respubliki ""Adamalla - Chelovechnost'."""" Redaktory: S. M. Abdurashidov, A. A. Zubairaev. Moscow, Russia. 199?-",NA,NA,NA,"series","series",NA,"4","Box","Box: ",NA,NA,NA,NA,NA,NA,"1999: no. 12000: one unnumbered issue dated January with headline ""Dorogie sootechestvenniki!,"" one unnumbered issue date April with headline ""Mir i poriadok...""",1,"Series",NA
"90",34,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2,"File","1999: no. 1"
"91",34,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2,"File","2000: no. one unnumbered issue dated January with headline ""Dorogie sootechestvenniki!,"" one unnumbered issue date April with headline ""Mir i poriadok..."""
"92",35,"C:/Users/kkalinin/Documents/R/win-library/3.6/HooverArchives/rusnewspapers.xml","ADAMON NYKHAS ""Narodnoe Sobranie."" Vestnik Narodnogo fronta iuzhnoi Osetii. (Russian language edition). Tskhinvali, Georgia. Monthly. 198?-",NA,NA,NA,"series","series",NA,"460","Box","Box: ",NA,NA,NA,NA,NA,NA,"1989: no. 1",1,"Series",NA
"93",35,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2,"File","1989: no. 1"
"94",36,"C:/Users/kkalinin/Documents/R/win-library/3.6/HooverArchives/rusnewspapers.xml","ADYGEISKAIA PRAVDA gazeta Adygeiskogo respublikanskogo otdeleniia Kommunisticheskoi partii Rossiiskoi Federatsii. Redaktor: V. S. Zaitsev. Maikop, Adygeiia. 2 issues per month. 1993-",NA,NA,NA,"series","series",NA,"4","Box","Box: ",NA,NA,NA,NA,NA,NA,"2005: no. 12(292), no. 17(297)",1,"Series",NA
"95",36,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2,"File","2005: no. 12(292), 17(297)"
"96",37,"C:/Users/kkalinin/Documents/R/win-library/3.6/HooverArchives/rusnewspapers.xml","AG""ULARIN KHABARAR respublikanskaia obshchetvenno-politicheskaia gazeta. Gl. redaktor: A. Maiafov. Dagestan. Weekly. 19??-",NA,NA,NA,"series","series",NA,"4","Box","Box: ",NA,NA,NA,NA,NA,NA,"1998: no. 3/4(5286-5287)-5/6(5286-5287)",1,"Series",NA
"97",37,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2,"File","1998: no. 3/4(5286-5287)-5/6(5286-5287)"
"98",38,"C:/Users/kkalinin/Documents/R/win-library/3.6/HooverArchives/rusnewspapers.xml","AGENSTVO NOVOSTI I INFORMATSII Redaktory: Maksim Demidov, Anatolii Papp. [Moscow, Russia. ]. 19??-",NA,NA,NA,"series","series",NA,"460","Box","Box: ",NA,NA,NA,NA,NA,NA,"1991: no. 15",1,"Series",NA
"99",38,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2,"File","1991: no. 15"
"100",39,"C:/Users/kkalinin/Documents/R/win-library/3.6/HooverArchives/rusnewspapers.xml","AGENTSTVO SOTSIAL'NO-POLITICHESKOI INFORMATSII Redaktory: V. Berlader, M. Komarova, D. Fedorov. Moscow, Russia. Approx. monthly. 1994?-",NA,NA,NA,"series","series",NA,"460","Box","Box: ",NA,NA,NA,NA,NA,NA,"1994: no. 2-41995: no. 2(9)-3(10)1996: no. 2(20)-7(25)1997: no. 1(26)-3(28), no. 5(30)-7(32)1998: no. 1(33)-9(41)1999: no. 1(42)-3(44)",1,"Series",NA
"101",39,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2,"File","1994: no. 2-4"
"102",39,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2,"File","1995: no. 2(9)-3(10)"
"103",39,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2,"File","1996: no. 2(20)-7(25)"
"104",39,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2,"File","1997: no. 1(26)-3(28), 5(30)-7(32)"
